lat	lon
49.161698	-0.370469
49.163779	-0.388768
49.166456	-0.394548
49.164605	-0.406411
49.162004	-0.414812
49.159629	-0.425300
49.159384	-0.434894
49.154304	-0.438989
49.152911	-0.448349
49.149345	-0.464354
49.145855	-0.472918
49.142595	-0.481693
49.135446	-0.486560
49.135583	-0.492293
49.128986	-0.501282
49.124178	-0.508700
49.122586	-0.522716
49.117241	-0.528332
49.112156	-0.534580
49.109782	-0.537832
49.107239	-0.545461
49.101004	-0.549626
49.100713	-0.560039
49.098491	-0.561443
49.095595	-0.565093
49.093006	-0.573540
49.091428	-0.573868
49.089199	-0.582103
49.089322	-0.590153
49.086119	-0.600285
49.082135	-0.614395
49.078809	-0.616150
49.074348	-0.614278
49.071865	-0.614793
49.064138	-0.613576
49.056702	-0.617063
49.052853	-0.620877
49.050844	-0.622187
49.045430	-0.629090
49.039632	-0.634519
49.035736	-0.634800
49.026101	-0.633934
49.026761	-0.636227
49.022480	-0.638824
49.016096	-0.646008
49.013978	-0.651928
49.015559	-0.665406
49.017085	-0.670170
49.016864	-0.679526
49.017675	-0.685924
49.018340	-0.693495
49.020469	-0.701083
49.019286	-0.705130
49.020091	-0.709496
49.020559	-0.717368
49.019767	-0.720901
49.018356	-0.728233
49.016501	-0.733615
49.013361	-0.735272
49.012173	-0.736928
49.010204	-0.735894
49.008048	-0.733826
49.006475	-0.729222
49.004175	-0.725661
49.001125	-0.723520
48.998194	-0.723446
48.996687	-0.725506
48.994426	-0.720268
48.992889	-0.713083
48.990444	-0.708617
48.990198	-0.703191
48.987141	-0.699255
