lat	lon
49.285407	-0.244602
49.222044	-0.303857
49.180031	-0.350924
49.151591	-0.376139
49.153377	-0.396101
49.126297	-0.404295
49.097963	-0.391898
49.097688	-0.411650
49.062454	-0.441277
49.064244	-0.458297
49.013140	-0.473846
48.993291	-0.496539
48.955638	-0.488134
48.929277	-0.512509
48.927207	-0.472585
48.884668	-0.442328
48.890747	-0.415642
48.845412	-0.359119
48.811798	-0.312892
48.766945	-0.255108
48.716646	-0.140591
48.743950	-0.027545
48.721062	0.043031
48.675947	0.102791
48.660694	0.094852
48.646903	0.119085
48.620434	0.137444
48.607918	0.157510
48.603684	0.174133
48.604877	0.188678
48.609644	0.196371
48.612288	0.212007
48.610691	0.227092
