lat	lon
48.643550	-1.386335
48.645393	-1.364532
48.634671	-1.362631
48.632158	-1.346279
48.640451	-1.343998
48.630483	-1.294689
48.609451	-1.309773
48.595788	-1.295957
48.603158	-1.287194
48.598364	-1.266917
48.606284	-1.257987
48.589886	-1.242333
48.578492	-1.233698
48.571560	-1.221636
48.577325	-1.219664
48.576835	-1.209718
48.570853	-1.206143
48.576443	-1.194250
48.572879	-1.191588
48.575395	-1.175997
48.561890	-1.159012
48.569188	-1.148301
48.560464	-1.141836
48.562226	-1.116485
48.581894	-1.112555
48.580762	-1.089422
48.585315	-1.071508
48.579025	-1.063051
48.581249	-1.042144
48.583091	-1.023285
48.590701	-1.020553
48.588651	-1.003008
48.593307	-1.001695
48.598379	-0.983257
48.596225	-0.978686
48.600007	-0.966485
48.598325	-0.959636
48.597919	-0.953934
48.603074	-0.948593
48.601024	-0.940736
48.599401	-0.929874
48.594174	-0.915583
48.588350	-0.905226
48.594246	-0.889492
48.592088	-0.877094
48.592350	-0.859938
48.591399	-0.853517
48.585791	-0.845435
48.580346	-0.840428
48.573621	-0.834007
48.571636	-0.827586
48.573440	-0.815909
48.577246	-0.802819
48.584233	-0.796374
48.584200	-0.791936
48.577410	-0.787573
48.572571	-0.789928
48.570914	-0.783929
48.564179	-0.775885
